No,Codigo,Departamento,Municipio,Latitud,Longitud,Nombre Establecimiento,Direccion
18075,17-09-4149-42,PETEN,SAN LUIS,16.148802,-89.404115,EODP ANEXA A EORM,ALDEA IXBOBO
18076,17-08-0518-43,PETEN,DOLORES,16.582565,-89.40346,EORM,CASERIO IXCUN
18077,17-08-1104-43,PETEN,DOLORES,16.63979,-89.401942,EORM,CASERIO LA GLORIA
18078,17-09-0013-42,PETEN,SAN LUIS,16.145594,-89.40187,EODP,BARRIO NUEVO ALDEA IXBOBO
18079,17-09-0047-43,PETEN,SAN LUIS,16.145594,-89.40187,EORM CASERIO BARRIO NUEVO IXBOBO,BARRIO NUEVO IXBOBO
18080,17-12-0017-42,PETEN,POPTUN,16.31763,-89.399207,EODP,CASERIO MORAZAN
18081,17-12-0046-43,PETEN,POPTUN,16.31763,-89.399207,EORM CASERIO MORAZAN,CASERIO MORAZAN
18082,17-08-2177-43,PETEN,DOLORES,16.711587,-89.398705,EORM,"CASERIO LAS DELICIAS, MOPAN"
18083,17-08-0064-43,PETEN,DOLORES,16.642212,-89.39704,EORM,CASERIO COROZAL I
18084,17-11-3448-45,PETEN,MELCHOR DE MENCOS,16.905172,-89.39572,NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO -NUFED-NO.15,CASERIO SAN ANTONIO YALTUTU I
18085,17-11-4195-42,PETEN,MELCHOR DE MENCOS,16.897778,-89.394808,EODP ANEXA A EORM,CASERIO YALTUTU I
